                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4696,                0.82532,                0.95142,                0.51868,                0.32536,                0.34221,                0.16911,                 1.8345,                 1.0281,                0.96214,             0.00027222,             0.00027222,             0.00027222
                     36,                  1.449,                 0.8126,                 0.9431,                0.51122,                0.34265,                0.34729,                0.16726,                 1.8495,                 1.0084,                0.96056,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.4535,                0.80769,                0.94374,                0.55432,                0.36014,                0.37859,                0.18164,                 1.7255,                0.96254,                0.93886,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.4546,                0.80628,                0.94428,                0.47445,                0.34236,                0.33843,                0.16352,                 1.8947,                 1.0158,                0.96661,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.4379,                0.78902,                0.94286,                0.56053,                0.35832,                0.38394,                0.18068,                 1.7836,                0.97688,                0.94765,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.4249,                0.78674,                0.93948,                0.49074,                0.34943,                0.37232,                0.17698,                  1.775,                0.99784,                0.94454,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.3693,                0.77948,                0.92947,                0.52238,                0.35137,                0.36115,                0.17393,                  1.822,                 1.0217,                0.95808,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.3398,                0.74408,                0.91814,                0.52432,                0.37724,                0.38996,                0.18879,                 1.7732,                0.98529,                0.94463,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.3306,                0.74042,                0.92163,                0.54243,                0.36276,                0.39077,                0.19787,                 1.7049,                0.94947,                0.93376,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.3179,                0.73044,                0.91963,                0.52794,                0.37883,                0.39888,                0.19291,                 1.7229,                0.95546,                0.93518,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.3144,                0.72893,                 0.9164,                 0.5328,                 0.3673,                0.39758,                0.19184,                 1.7667,                0.95841,                0.94364,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.2948,                0.71275,                0.91332,                0.55774,                0.37368,                0.40498,                0.19493,                 1.7568,                0.94683,                0.94255,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                  1.286,                0.70906,                0.91435,                0.56107,                0.38338,                0.42071,                0.20354,                 1.6895,                0.91215,                0.92695,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.2763,                0.70613,                0.91071,                0.55045,                 0.3735,                0.40407,                0.19587,                 1.7511,                0.93839,                0.93725,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.2679,                0.70111,                 0.9082,                 0.5696,                0.36161,                 0.3926,                0.19423,                 1.7458,                0.95334,                0.93665,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                  1.264,                0.69575,                0.90486,                 0.5564,                0.38508,                0.41545,                0.20083,                 1.7054,                0.92567,                0.92938,             2.4823e-05,             2.4823e-05,             2.4823e-05
