                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0435,                0.53948,                 0.8316,                0.78734,                0.63882,                0.70376,                0.40465,                  1.074,                 0.5544,                0.84692,             0.00025573,             0.00025573,             0.00025573
                     37,                  1.041,                0.53327,                 0.8346,                0.79413,                0.64134,                0.70511,                0.40891,                 1.0726,                0.54872,                0.84533,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.0408,                0.53527,                0.83462,                0.80535,                0.63475,                 0.7045,                0.40267,                  1.096,                0.55123,                0.84931,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.0034,                0.51821,                0.82857,                0.78066,                0.63554,                 0.7067,                0.41253,                 1.0699,                0.54383,                 0.8477,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.0056,                0.51664,                0.83031,                 0.7861,                 0.6466,                0.71219,                0.42294,                 1.0597,                0.53599,                0.84409,             0.00018976,             0.00018976,             0.00018976
                     41,                  1.003,                0.52548,                0.82415,                0.79048,                0.63066,                0.70466,                0.41345,                  1.097,                0.55652,                0.84985,             0.00017326,             0.00017326,             0.00017326
                     42,                0.98926,                0.51422,                 0.8269,                0.80077,                0.63575,                0.71258,                0.41976,                 1.0731,                0.54258,                0.84625,             0.00015677,             0.00015677,             0.00015677
                     43,                0.98272,                0.50876,                0.82749,                0.79889,                0.65337,                0.71981,                0.42052,                 1.0722,                0.53846,                 0.8458,             0.00014028,             0.00014028,             0.00014028
                     44,                0.96278,                0.49784,                0.82298,                0.78834,                0.64594,                 0.7062,                0.41904,                 1.0602,                0.53387,                0.84514,             0.00012378,             0.00012378,             0.00012378
                     45,                0.95609,                0.49814,                0.82322,                0.79399,                0.63919,                0.71292,                0.42101,                 1.0563,                0.53807,                0.84444,             0.00010729,             0.00010729,             0.00010729
                     46,                0.93638,                0.49203,                0.81902,                0.79714,                0.65878,                0.72217,                0.42915,                 1.0458,                0.52891,                 0.8434,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.92981,                0.48507,                0.82131,                0.79419,                0.64225,                0.71251,                 0.4275,                 1.0406,                0.52679,                0.84312,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.92946,                0.48265,                0.82211,                0.80664,                0.63963,                0.71658,                0.42871,                 1.0351,                 0.5212,                0.84153,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.91306,                0.47684,                0.81822,                0.81687,                0.64732,                0.72427,                 0.4362,                 1.0239,                0.51704,                0.84096,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.90427,                0.47251,                0.81927,                0.82824,                0.63933,                0.72544,                0.43674,                   1.02,                0.51398,                0.84026,             2.4823e-05,             2.4823e-05,             2.4823e-05
