                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95732,                0.47998,                0.81933,                0.83996,                0.70087,                0.77058,                0.47347,                 1.0012,                0.49261,                 0.8435,             0.00025573,             0.00025573,             0.00025573
                     37,                0.94366,                0.47371,                0.81972,                0.84819,                0.69472,                0.76931,                0.47872,                0.97098,                0.48381,                 0.8387,             0.00023924,             0.00023924,             0.00023924
                     38,                0.94162,                0.47387,                0.81973,                0.84558,                0.69958,                0.78152,                0.47949,                0.99469,                0.48445,                0.84032,             0.00022274,             0.00022274,             0.00022274
                     39,                0.90774,                0.45706,                  0.815,                0.84471,                0.70029,                0.77475,                0.48305,                0.98001,                0.47913,                 0.8411,             0.00020625,             0.00020625,             0.00020625
                     40,                0.90596,                0.45582,                0.81654,                0.84878,                0.70339,                0.78359,                0.49011,                0.97433,                0.47749,                0.83899,             0.00018976,             0.00018976,             0.00018976
                     41,                0.91417,                0.46554,                0.81227,                0.85011,                0.68793,                0.76965,                0.48048,                0.99784,                0.48999,                0.84266,             0.00017326,             0.00017326,             0.00017326
                     42,                0.89826,                0.45416,                0.81331,                0.85581,                0.69463,                  0.776,                0.48516,                0.97935,                0.48207,                0.83912,             0.00015677,             0.00015677,             0.00015677
                     43,                0.89569,                0.45277,                0.81389,                0.84395,                0.71098,                 0.7858,                0.48358,                0.96295,                0.47179,                0.83715,             0.00014028,             0.00014028,             0.00014028
                     44,                0.87659,                0.44581,                0.81085,                0.84165,                0.71388,                0.78467,                0.49384,                0.95493,                0.47336,                0.83668,             0.00012378,             0.00012378,             0.00012378
                     45,                0.86672,                0.44181,                0.81089,                 0.8604,                 0.7095,                 0.7871,                 0.4989,                0.95402,                0.46718,                0.83801,             0.00010729,             0.00010729,             0.00010729
                     46,                  0.851,                0.43602,                0.80654,                0.84379,                0.71666,                0.78682,                0.49574,                0.95423,                0.46738,                0.83627,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.84074,                0.42941,                0.80868,                0.86224,                0.71245,                 0.7946,                0.50562,                0.92015,                0.45232,                0.83337,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.83614,                0.42526,                0.80846,                0.83904,                 0.7333,                0.79699,                0.50827,                0.90668,                 0.4486,                0.83202,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.81604,                0.41706,                0.80443,                0.86319,                0.72333,                0.80162,                0.51565,                 0.9118,                0.44755,                 0.8323,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.80991,                0.41519,                0.80601,                  0.857,                0.72599,                0.80061,                0.51359,                0.91157,                0.44479,                0.83248,             2.4823e-05,             2.4823e-05,             2.4823e-05
